DortyLogs Has started working, logs made at   Wed Sep 22 22:21:27 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 14 )
