DortyLogs Has started working, logs made at   Thu Sep 23 10:36:52 2021
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 11 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 0 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 5 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 8 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 9 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (4, 9 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 10 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 7 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 9 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 11 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 8 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (8, 13 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 1 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (5, 6 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (11, 7 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 3 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (10, 11 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 13 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 14 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (11, 9 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (10, 14 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (14, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 14 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 3 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
