DortyLogs Has started working, logs made at   Wed Sep 22 22:23:36 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 4 )
Krestik Winned the game. By the end of turn: 150, Reason: NormalWin3: 4 - 7
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 10 )
