DortyLogs Has started working, logs made at   Wed Sep 22 22:24:30 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 11 )
