DortyLogs Has started working, logs made at   Wed Sep 22 22:26:35 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 9 )
