DortyLogs Has started working, logs made at   Thu Sep 23 10:27:05 2021
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (8, 5 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (12, 11 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (10, 11 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 0 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (1, 8 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 12 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (12, 1 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (5, 5 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (10, 8 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 14 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 13 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 5 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 14 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 10 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 5 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 3 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 7 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (12, 6 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (4, 4 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (5, 8 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 7 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 1 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (11, 7 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 7 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 3 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (4, 6 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 12 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (11, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (11, 1 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (1, 13 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 9 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 5 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 1 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (5, 14 )
