DortyLogs Has started working, logs made at   Wed Sep 22 22:27:44 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 7 )
Krestik Winned the game. By the end of turn: 74, Reason: NormalWin2: 5 - 6
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 6 )
