DortyLogs Has started working, logs made at   Thu Sep 23 10:20:42 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 10 )
