DortyLogs Has started working, logs made at   Wed Sep 22 22:20:10 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 7 )
