DortyLogs Has started working, logs made at   Thu Sep 23 10:30:07 2021
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 2 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 2 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 2 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 2 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 3 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (8, 10 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 1 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 3 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (12, 3 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (9, 9 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (10, 12 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 12 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 12 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 9 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 5 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (12, 0 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 1 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (4, 11 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (10, 8 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (14, 4 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 14 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 1 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (1, 14 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 8 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Krestik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 1 )
Nolik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
