DortyLogs Has started working, logs made at   Thu Sep 23 10:36:03 2021
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 13 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (3, 0 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 10 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 11 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (1, 8 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (1, 6 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (5, 7 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 5 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (10, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (8, 9 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 0 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (13, 8 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (12, 6 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (5, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (4, 0 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (2, 4 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (5, 14 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (6, 4 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (5, 1 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (4, 13 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (14, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (7, 11 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (11, 11 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (12, 1 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (0, 2 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
Nolik Made a turn, algoritmName: TotallyRandomGosunov, placed at (12, 1 )
Krestik Made a turn, algoritmName: AlwaysPlaceIn(1;1), placed at (1, 1 )
