DortyLogs Has started working, logs made at   Wed Sep 22 22:24:42 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 12 )
